STATION,DATE,REPORT TYPE,SOURCE,DailyWeather,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,REM,REPORT   TYPE,SOURCE,WindEquipmentChangeDate
3797035047,2021-01-03T06:00:00,FM-12,4,,37,37,,,0.01,6,99,29.98,BKN:07 2,29.8,2.42,37,330,,8,SYN11603797 17139 /3307 10029 20028 30090 40151 56004 60002 720// 333 20023 3/002 55000 55300 20000 79999 87/02 555 77547=,FM-12,4,
3797035047,2021-01-03T07:00:00,FM-12,4,,38,38,,,0,3,99,29.98,OVC:08 2,29.8,3.73,38,340,,8,SYN08603797 47156 /3407 10034 20033 30092 40153 53001 710// 333 55300 20000 88/02 555 77098=,FM-12,4,
3797035047,2021-01-03T08:00:00,FM-12,4,,39,39,,|SHRA |,-0.01,2,99,29.99,BKN:06 4,29.8,4.97,39,40,,3,SYN07603797 47258 /0403 10040 20038 30093 40155 52005 782// 333 55300 20000 86/04=,FM-12,4,
3797035047,2021-01-03T09:00:00,FM-12,4,,37,39,,,-0.02,2,93,30,FEW:01 12 BKN:06 29,29.82,24.85,38,50,,3,SYN08203797 47482 /0503 10038 20027 30097 40158 52007 723// 333 55300 20051 81/12 86/29=,FM-12,4,
3797035047,2021-01-03T10:00:00,FM-12,4,,37,38,,|SHRA |,-0.03,3,96,30.01,FEW:01 13 BKN:06 16,29.83,8.7,38,70,,9,SYN08203797 47464 /0708 10032 20026 30102 40164 53010 782// 333 55303 20152 81/13 86/16=,FM-12,4,
3797035047,2021-01-03T11:00:00,FM-12,4,,36,38,,,-0.03,2,92,30.02,SCT:03 44,29.84,6.84,37,110,,8,SYN07603797 47661 /1107 10035 20023 30104 40166 52011 723// 333 55300 20163 83/45=,FM-12,4,
3797035047,2021-01-03T12:00:00,FM-12,4,,38,40,,,-0.02,1,93,30.01,SCT:03 18 SCT:04 49,29.83,6.21,39,40,,2,SYN08803797 17460 /0402 10042 20031 30103 40164 51006 69901 723// 333 55301 20250 83/18 84/50=,FM-12,4,
3797035047,2021-01-03T13:00:00,FM-12,4,,36,43,,,0.01,8,76,30.01,FEW:01 23 BKN:07 49,29.83,18.64,40,70,,10,SYN07603797 45580 /0709 10061 20022 30100 40161 58002 333 55303 20619 81/23 87/50=,FM-12,4,
3797035047,2021-01-03T14:00:00,FM-12,4,,36,41,,,0.01,6,82,30.01,BKN:05 17 BKN:06 59,29.83,8.08,39,80,,10,SYN07603797 45463 /0809 10050 20022 30102 40163 56002 333 55300 20202 85/17 86/56=,FM-12,4,
3797035047,2021-01-03T15:00:00,FM-12,4,,34,41,,,-0.01,3,77,30.02,FEW:01 26 SCT:04 34 BKN:06 49,29.84,18.64,38,70,,9,SYN08803797 47580 /0708 10049 20012 30105 40166 53003 723// 333 55300 20052 81/26 84/35 86/50=,FM-12,4,
3797035047,2021-01-03T16:00:00,FM-12,4,,31,40,,,-0.01,2,69,30.02,BKN:07 59,29.84,27.96,36,50,,6,SYN07003797 45783 /0505 10047 21005 30106 40167 52005 333 55300 20050 87/56=,FM-12,4,
3797035047,2021-01-03T17:00:00,FM-12,4,,32,41,,,-0.01,1,70,30.03,BKN:07 49,29.85,24.85,37,60,,15,SYN07603797 47782 /0613 10051 20001 30107 40168 51005 723// 333 55300 20000 87/50=,FM-12,4,
3797035047,2021-01-03T18:00:00,FM-12,4,,32,41,,|SHRA |,-0.02,3,71,30.04,FEW:01 31 BKN:07 35,29.86,21.75,37,70,,14,SYN10603797 17681 /0712 10048 20000 30113 40174 53008 69902 781// 333 10063 55300 20000 81/31 87/36 90710 91125=,FM-12,4,
3797035047,2021-01-03T19:00:00,FM-12,4,,33,40,,|RA |,-0.03,3,74,30.06,FEW:01 29 BKN:07 38,29.87,24.85,37,70,,13,SYN08203797 47582 /0711 10046 20003 30116 40178 53010 761// 333 55300 20000 81/29 87/39=,FM-12,4,
3797035047,2021-01-03T20:00:00,FM-12,4,,34,42,,,-0.02,1,74,30.05,FEW:02 29 SCT:04 33 BKN:07 40,29.87,18.02,39,60,,10,SYN08803797 47579 /0609 10053 20010 30115 40176 51008 723// 333 55300 20000 82/29 84/34 87/41=,FM-12,4,
3797035047,2021-01-03T21:00:00,FM-12,4,,34,42,,,-0.01,1,74,30.06,FEW:02 27 BKN:07 38,29.88,18.64,39,50,,14,SYN08203797 47580 /0512 10054 20011 30117 40178 51004 723// 333 55300 20000 82/27 87/39=,FM-12,4,
3797035047,2021-01-03T22:00:00,FM-12,4,,33,41,,,-0.01,3,73,30.07,BKN:07 30 SCT:03 40,29.89,18.64,38,50,,15,SYN08803797 45680 /0513 10050 20006 30121 40182 53005 333 55300 20000 87/30 83/41 90710 91126=,FM-12,4,
3797035047,2021-01-03T23:00:00,FM-12,4,,33,41,,,-0.02,2,75,30.07,BKN:07 25,29.89,18.64,38,50,,14,SYN07003797 45580 /0512 10050 20008 30122 40183 52007 333 55300 20000 87/25=,FM-12,4,
3797035047,2021-01-03T23:59:00,SOD  ,O,RA BR,,,,,,,,,,,,,,,,,SOD  ,O,
3797035047,2021-01-04T00:00:00,FM-12,4,,32,41,,,-0.01,1,70,30.06,OVC:08 24,29.88,21.75,37,50,,15,SYN08203797 17581 /0513 10051 20000 30120 40181 51003 69901 723// 333 55/// 20151 88/24=,FM-12,4,
3797035047,2021-01-04T01:00:00,FM-12,4,,36,40,,,0.01,8,83,30.06,FEW:01 18 BKN:05 23 BKN:05 41,29.88,15.53,38,40,,11,SYN08803797 47475 /0410 10046 20020 30117 40178 58005 723// 333 55300 20000 81/18 85/23 85/42=,FM-12,4,
3797035047,2021-01-04T02:00:00,FM-12,4,,34,41,,,0.02,7,76,30.05,FEW:01 24 BKN:06 28,29.87,21.75,38,40,,16,SYN08203797 47581 /0414 10051 20012 30115 40176 57008 723// 333 55300 20000 81/24 86/28=,FM-12,4,
3797035047,2021-01-04T03:00:00,FM-12,4,,37,41,,|SHRA |,0.02,7,85,30.04,FEW:01 20 BKN:06 44,29.86,7.46,39,30,,15,SYN08203797 47562 /0313 10050 20026 30112 40173 57008 781// 333 55300 20000 81/20 86/45=,FM-12,4,
3797035047,2021-01-04T04:00:00,FM-12,4,,37,41,,|SHRA |,0.03,8,87,30.03,BKN:05 18 BKN:05 49,29.85,12.43,39,40,,15,SYN09403797 47470 /0413 10049 20029 30107 40168 58010 781// 333 55300 20000 85/18 85/50 90710 91125=,FM-12,4,
3797035047,2021-01-04T05:00:00,FM-12,4,,38,41,,,0.04,7,89,30.01,FEW:02 13 SCT:03 24 BKN:05 49,29.83,21.75,40,40,,14,SYN08803797 47481 /0412 10050 20033 30103 40164 57012 723// 333 55300 20000 82/13 83/24 85/50=,FM-12,4,
3797035047,2021-01-04T06:00:00,FM-12,4,,37,40,,|RA |,0.03,6,89,30.01,BKN:05 12 BKN:05 49,29.83,15.53,39,40,,17,SYN11203797 17475 /0415 10046 20029 30102 40163 56010 69902 762// 333 20040 3/003 55006 55300 20000 79999 85/12 85/50=,FM-12,4,
3797035047,2021-01-04T07:00:00,FM-12,4,,38,41,,|RA |,0.01,6,90,30.02,FEW:02 14 BKN:05 23,29.84,13.67,40,50,,15,SYN09403797 47472 /0513 10048 20032 30104 40165 56003 761// 333 55300 20000 82/14 85/23 90710 91126=,FM-12,4,
3797035047,2021-01-04T08:00:00,FM-12,4,,37,40,,|RA |,-0.01,3,87,30.03,SCT:03 16 SCT:04 28,29.85,21.75,39,60,,20,SYN09403797 47481 /0617 10047 20027 30107 40168 53003 761// 333 55300 20000 83/16 84/28 90710 91126=,FM-12,4,
3797035047,2021-01-04T09:00:00,FM-12,4,,38,41,,|RA |,-0.03,3,90,30.04,SCT:04 14 BKN:05 47,29.86,8.7,40,60,,16,SYN09403797 47464 /0614 10048 20032 30111 40172 53009 761// 333 55300 20012 84/14 85/48 90710 91125=,FM-12,4,
3797035047,2021-01-04T10:00:00,FM-12,4,,38,40,,|RA |,-0.03,2,91,30.05,SCT:03 13 SCT:04 29 BKN:05 49,29.87,6.21,39,70,,17,SYN10003797 47460 /0715 10046 20032 30114 40175 52010 761// 333 55300 20092 83/13 84/29 85/50 90710 91126=,FM-12,4,
3797035047,2021-01-04T11:00:00,FM-12,4,,38,40,,|RA |,-0.02,1,91,30.05,BKN:05 15,29.87,4.97,39,60,,16,SYN07603797 47458 /0614 10046 20032 30115 40176 51008 761// 333 55300 20149 85/15=,FM-12,4,
3797035047,2021-01-04T12:00:00,FM-12,4,,37,40,,|RA |,0.01,9,88,30.04,SCT:03 15 SCT:04 21,29.86,8.08,39,60,,17,SYN08803797 17463 /0615 10047 20029 30113 40174 50002 69901 761// 333 55300 20131 83/15 84/21=,FM-12,4,
3797035047,2021-01-04T13:00:00,FM-12,4,,36,41,,|RA |,0.01,8,83,30.03,FEW:01 18 BKN:07 27,29.85,9.94,39,60,,17,SYN09403797 47466 /0615 10050 20024 30110 40171 58004 761// 333 55300 20137 81/18 87/27 90710 91125=,FM-12,4,
3797035047,2021-01-04T14:00:00,FM-12,4,,37,40,,|SHRA |,0.01,6,90,30.03,BKN:06 13 SCT:03 49,29.85,8.08,39,60,,18,SYN09403797 47463 /0616 10045 20030 30110 40171 56005 782// 333 55300 20109 86/13 83/50 90710 91125=,FM-12,4,
3797035047,2021-01-04T15:00:00,FM-12,4,,37,40,,|RA |,0,5,89,30.04,FEW:01 14 BKN:07 22,29.86,4.35,39,50,,21,SYN09403797 47457 /0518 10045 20028 30112 40173 55000 761// 333 55300 20085 81/14 87/22 90710 91129=,FM-12,4,
3797035047,2021-01-04T16:00:00,FM-12,4,,36,40,,|SHRA |,-0.01,3,86,30.05,FEW:01 18 BKN:05 21,29.87,6.21,38,50,,18,SYN10003797 47460 /0516 10045 20023 30114 40175 53004 781// 333 55300 20024 81/18 85/21 90710 91127 91027=,FM-12,4,
3797035047,2021-01-04T17:00:00,FM-12,4,,35,40,,,-0.02,2,82,30.06,FEW:02 18 BKN:06 44,29.88,21.75,38,40,,17,SYN10003797 47481 /0415 10045 20016 30117 40178 52007 723// 333 55300 20000 82/18 86/45 90710 91127 91026=,FM-12,4,
3797035047,2021-01-04T18:00:00,FM-12,4,,35,39,,,-0.02,3,84,30.06,FEW:01 32 SCT:03 38 BKN:06 48,29.88,7.46,37,40,,18,SYN11203797 17662 /0416 10041 20016 30120 40181 53008 69902 723// 333 10051 55300 20000 81/33 83/39 86/49 90710 91126=,FM-12,4,
3797035047,2021-01-04T19:00:00,FM-12,4,,35,39,,,-0.02,2,85,30.07,FEW:02 18 SCT:03 27 BKN:06 42,29.89,15.53,37,50,,15,SYN10603797 47475 /0513 10038 20014 30122 40183 52008 723// 333 55300 20000 82/18 83/27 86/43 90710 91128 91023=,FM-12,4,
3797035047,2021-01-04T20:00:00,FM-12,4,,35,39,,,-0.02,1,83,30.07,FEW:02 30 BKN:06 41,29.89,18.64,37,50,,16,SYN09403797 47680 /0514 10040 20014 30122 40184 51006 723// 333 55300 20000 82/30 86/42 90710 91127=,FM-12,4,
3797035047,2021-01-04T21:00:00,FM-12,4,,34,39,,|SHRA |,-0.01,1,80,30.07,SCT:04 21 BKN:06 59,29.89,21.75,37,40,,16,SYN08203797 47581 /0414 10041 20010 30123 40184 51003 781// 333 55300 20000 84/21 86/56=,FM-12,4,
3797035047,2021-01-04T22:00:00,FM-12,4,,35,40,,,0,4,82,30.07,FEW:01 15 BKN:05 21 BKN:05 35,29.89,18.64,38,40,,15,SYN08803797 47480 /0413 10042 20014 30122 40183 54000 723// 333 55300 20000 81/15 85/21 85/36=,FM-12,4,
3797035047,2021-01-04T23:00:00,FM-12,4,,35,38,,|SHRA |,0.01,8,87,30.07,SCT:04 18,29.89,2.86,37,40,,15,SYN08803797 47446 /0413 10035 20015 30121 40182 58002 782// 333 55300 20000 84/18 90710 91126=,FM-12,4,
3797035047,2021-01-04T23:59:00,SOD  ,O,RA,,,,,,,,,,,,,,,,,SOD  ,O,
3797035047,2021-01-05T00:00:00,FM-12,4,,35,38,,,0.01,7,88,30.06,FEW:01 14 BKN:05 17,29.88,18.64,37,30,,18,SYN08803797 17480 /0316 10034 20015 30119 40180 57004 69901 723// 333 55/// 20068 81/14 85/17=,FM-12,4,
3797035047,2021-01-05T01:00:00,FM-12,4,,36,39,,,0.01,7,87,30.06,FEW:02 14 SCT:03 20 BKN:05 49,29.88,13.05,38,30,,15,SYN08803797 47471 /0313 10040 20020 30118 40179 57004 723// 333 55300 20000 82/14 83/20 85/50=,FM-12,4,
3797035047,2021-01-05T02:00:00,FM-12,4,,36,39,,,0.01,7,90,30.06,BKN:05 14 SCT:04 69,29.88,13.67,38,10,,15,SYN08203797 47472 /0113 10039 20024 30117 40178 57004 723// 333 55300 20000 85/14 84/57=,FM-12,4,
3797035047,2021-01-05T03:00:00,FM-12,4,,36,38,,|RA |,0.01,6,91,30.06,BKN:07 12,29.88,4.35,37,40,,16,SYN08803797 47457 /0414 10034 20021 30117 40178 56002 762// 333 55300 20000 87/12 90710 91129=,FM-12,4,
3797035047,2021-01-05T04:00:00,FM-12,4,,36,39,,|RA |,0.02,8,88,30.04,FEW:02 16 BKN:06 24,29.86,13.67,38,30,,15,SYN09403797 47472 /0313 10041 20022 30112 40174 58006 761// 333 55300 20000 82/16 86/24 90710 91128=,FM-12,4,
3797035047,2021-01-05T05:00:00,FM-12,4,,36,40,,,0.02,8,86,30.03,SCT:04 16 SCT:04 49,29.85,18.64,38,40,,14,SYN09403797 47480 /0412 10044 20023 30110 40171 58007 723// 333 55300 20000 84/16 84/50 90710 91125=,FM-12,4,
